imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0036613,"Arsenic and Old Lace",1944,118,1120175,NULL,7.9,78859,3,NULL
tt0053125,"North by Northwest",1959,136,4000000,13275000,8.3,369871,1,0
tt0489270,"Saw III",2006,108,10000000,164874275,6.2,228148,3,0
tt0432348,"Saw II",2005,93,4000000,152925093,6.6,297028,3,1
tt0071141,"Fear Eats the Soul",1974,93,130000,186757,8,26020,3,0
tt0367882,"Indiana Jones and the Kingdom of the Crystal Skull",2008,122,185000000,786636033,6.2,513921,1,0
tt0088247,"The Terminator",1984,107,6400000,78371200,8.1,1005394,3,0
tt0441909,Volver,2006,121,9400000,85605851,7.6,112830,3,NULL
tt0048028,"East of Eden",1955,118,NULL,5000000,7.8,51869,NULL,NULL
tt0048545,"Rebel Without a Cause",1955,111,1500000,4500000,7.6,103284,1,0
tt0017668,"Berlin: Symphony of Metropolis",1927,65,NULL,NULL,7.6,5160,NULL,NULL
tt0032976,Rebecca,1940,130,NULL,NULL,8.1,162583,3,0
tt0075902,"Man of Marble",1977,160,NULL,NULL,7.6,5280,NULL,NULL
tt0082222,"Man of Iron",1981,156,NULL,492035,7.3,4179,NULL,NULL
tt0171804,"Boys Don't Cry",1999,118,2000000,11540607,7.5,107758,2,NULL
tt0086066,"The Outsiders",1983,91,10000000,33697647,7,109731,2,0
tt0020697,"The Blue Angel",1930,104,NULL,NULL,7.6,17661,1,0
tt0026138,"Bride of Frankenstein",1935,75,393750,2000000,7.8,59083,3,0
tt0365737,Syriana,2005,128,50000000,93974620,6.8,138641,NULL,NULL
tt0086216,"Rumble Fish",1983,94,10000000,2494480,7.1,41292,2,0
tt0080117,"The Wanderers",1979,112,NULL,23000000,7.3,13471,NULL,NULL
tt0010323,"The Cabinet of Dr. Caligari",1920,67,18000,8811,8,76304,0,0
tt0092005,"Stand by Me",1986,89,8000000,52289686,8.1,488268,0,0
tt0110598,"Muriel's Wedding",1994,106,3000000,15119639,7.3,45230,3,0
tt0289635,"Young Adam",2003,98,6400000,2500000,6.3,15328,NULL,NULL
tt0068646,"The Godfather",1972,175,6000000,245066411,9.2,2226892,2,0
